Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Domacina'], Accuracy: 0.4947, Spearman: 0.9459
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Gosta'], Accuracy: 0.5395, Spearman: 0.9383
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Gosta'], Accuracy: 0.5447, Spearman: 0.9083
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Gosta'], Accuracy: 0.5763, Spearman: 0.9759
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Gosta'], Accuracy: 0.5395, Spearman: 0.9805
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Otezana Forma Gosta'], Accuracy: 0.5132, Spearman: 0.9789
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -1 utakmica'], Accuracy: 0.5658, Spearman: 0.9308
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -1 utakmica'], Accuracy: 0.5474, Spearman: 0.9068
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -1 utakmica'], Accuracy: 0.5895, Spearman: 0.9699
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -1 utakmica'], Accuracy: 0.5237, Spearman: 0.9579
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -1 utakmica'], Accuracy: 0.5026, Spearman: 0.9083
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -2 utakmica'], Accuracy: 0.5579, Spearman: 0.9474
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -2 utakmica'], Accuracy: 0.5474, Spearman: 0.9203
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -2 utakmica'], Accuracy: 0.5947, Spearman: 0.9744
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -2 utakmica'], Accuracy: 0.5289, Spearman: 0.9669
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -2 utakmica'], Accuracy: 0.5211, Spearman: 0.9353
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -3 utakmica'], Accuracy: 0.5553, Spearman: 0.9398
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -3 utakmica'], Accuracy: 0.5526, Spearman: 0.9098
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -3 utakmica'], Accuracy: 0.5895, Spearman: 0.9744
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -3 utakmica'], Accuracy: 0.5421, Spearman: 0.9564
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -3 utakmica'], Accuracy: 0.5211, Spearman: 0.8947
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -4 utakmica'], Accuracy: 0.5632, Spearman: 0.9008
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -4 utakmica'], Accuracy: 0.5579, Spearman: 0.9068
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -4 utakmica'], Accuracy: 0.5974, Spearman: 0.9744
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -4 utakmica'], Accuracy: 0.5421, Spearman: 0.9654
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -4 utakmica'], Accuracy: 0.5132, Spearman: 0.9188
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -5 utakmica'], Accuracy: 0.5605, Spearman: 0.9263
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -5 utakmica'], Accuracy: 0.5447, Spearman: 0.8977
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -5 utakmica'], Accuracy: 0.5947, Spearman: 0.9744
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -5 utakmica'], Accuracy: 0.5289, Spearman: 0.9759
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Domacin -5 utakmica'], Accuracy: 0.5184, Spearman: 0.9233
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -1 utakmica'], Accuracy: 0.5605, Spearman: 0.9474
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -1 utakmica'], Accuracy: 0.5447, Spearman: 0.9098
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -1 utakmica'], Accuracy: 0.5921, Spearman: 0.9774
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -1 utakmica'], Accuracy: 0.5421, Spearman: 0.9684
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -1 utakmica'], Accuracy: 0.4947, Spearman: 0.9233
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -2 utakmica'], Accuracy: 0.5658, Spearman: 0.9383
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -2 utakmica'], Accuracy: 0.5500, Spearman: 0.9068
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -2 utakmica'], Accuracy: 0.5921, Spearman: 0.9744
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -2 utakmica'], Accuracy: 0.5368, Spearman: 0.9729
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -2 utakmica'], Accuracy: 0.5132, Spearman: 0.9353
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -3 utakmica'], Accuracy: 0.5632, Spearman: 0.9444
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -3 utakmica'], Accuracy: 0.5474, Spearman: 0.9023
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Referee', 'B365H', 'B365D', 'Gost -3 utakmica'], Accuracy: 0.5895, Spearman: 0.9744
