Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Gost -2 utakmica'], Accuracy: 0.5421, Spearman: 0.6256
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Gost -2 utakmica'], Accuracy: 0.5526, Spearman: 0.6015
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Gost -2 utakmica'], Accuracy: 0.4684, Spearman: 0.6331
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Gost -3 utakmica'], Accuracy: 0.4684, Spearman: 0.7549
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Gost -3 utakmica'], Accuracy: 0.5447, Spearman: 0.7820
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Gost -3 utakmica'], Accuracy: 0.5395, Spearman: 0.6797
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Gost -3 utakmica'], Accuracy: 0.5658, Spearman: 0.5820
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Gost -3 utakmica'], Accuracy: 0.4789, Spearman: 0.6376
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Gost -4 utakmica'], Accuracy: 0.4500, Spearman: 0.6571
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Gost -4 utakmica'], Accuracy: 0.5605, Spearman: 0.7880
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Gost -4 utakmica'], Accuracy: 0.5632, Spearman: 0.6872
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Gost -4 utakmica'], Accuracy: 0.5447, Spearman: 0.5925
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Gost -4 utakmica'], Accuracy: 0.4684, Spearman: 0.7248
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Gost -5 utakmica'], Accuracy: 0.4474, Spearman: 0.6346
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Gost -5 utakmica'], Accuracy: 0.5526, Spearman: 0.7940
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Gost -5 utakmica'], Accuracy: 0.5395, Spearman: 0.6962
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Gost -5 utakmica'], Accuracy: 0.5421, Spearman: 0.6120
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Gost -5 utakmica'], Accuracy: 0.4263, Spearman: 0.6737
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Forma Domacina Nova'], Accuracy: 0.4868, Spearman: 0.6767
Model: Logistic Regression, Features: ['HomeTeam', 'AwayTeam', 'Forma Domacina Nova'], Accuracy: 0.5237, Spearman: 0.7459
Model: SVC, Features: ['HomeTeam', 'AwayTeam', 'Forma Domacina Nova'], Accuracy: 0.5553, Spearman: 0.6150
Model: Gradient Boosting, Features: ['HomeTeam', 'AwayTeam', 'Forma Domacina Nova'], Accuracy: 0.5368, Spearman: 0.5383
Model: KNN, Features: ['HomeTeam', 'AwayTeam', 'Forma Domacina Nova'], Accuracy: 0.4500, Spearman: 0.6647
Model: Random Forest, Features: ['HomeTeam', 'AwayTeam', 'Forma Gosta Nova'], Accuracy: 0.4658, Spearman: 0.7444
